row_id,timestamp,consensus,node_count,network_latency_ms,tx_throughput_tps,energy_joules_per_min,security_risk_score,vehicle_count,vehicle_count_variability,fault_tolerance_requirement,notes
1,2026-02-04T15:33:44.502509,PoW,5,407.72,1.0,10862.67,0.0785,176,2.07,0.3996,
2,2026-02-04T15:33:44.502509,PoS,4,99.44,203.35,38162.49,0.1163,176,2.07,0.4164,
3,2026-02-04T15:33:44.502509,Raft,8,24.91,1667.65,412307.51,0.1057,176,2.07,0.5691,
4,2026-02-04T15:33:44.502509,PBFT,7,98.94,1.0,696.37,0.1563,176,2.07,0.7209,
5,2026-02-04T15:33:44.502509,HotStuff,6,83.14,547.02,155396.55,0.1153,176,2.07,0.7432,
6,2026-02-04T15:34:44.502509,PoW,5,153.62,1.0,7139.9,0.1104,157,4.52,0.3868,
7,2026-02-04T15:34:44.502509,PoS,4,99.69,524.4,127677.22,0.1628,157,4.52,0.4397,
8,2026-02-04T15:34:44.502509,Raft,8,46.93,1.0,351.99,0.1347,157,4.52,0.5919,
9,2026-02-04T15:34:44.502509,PBFT,7,192.2,271.96,202905.24,0.1237,157,4.52,0.745,
10,2026-02-04T15:34:44.502509,HotStuff,6,66.32,419.82,159325.67,0.1479,157,4.52,0.7354,
11,2026-02-04T15:35:44.502509,PoW,6,428.89,1.0,8848.32,0.1136,137,7.53,0.3849,
12,2026-02-04T15:35:44.502509,PoS,3,83.11,229.27,65057.4,0.1519,137,7.53,0.4046,
13,2026-02-04T15:35:44.502509,Raft,8,43.19,161.68,61150.11,0.1654,137,7.53,0.5755,
14,2026-02-04T15:35:44.502509,PBFT,7,39.39,191.08,126696.39,0.1995,137,7.53,0.7239,
15,2026-02-04T15:35:44.502509,HotStuff,6,110.01,1246.85,553144.5,0.1539,137,7.53,0.7874,
16,2026-02-04T15:36:44.502509,PoW,7,345.85,1.0,6811.48,0.1166,132,8.49,0.4224,
17,2026-02-04T15:36:44.502509,PoS,3,79.42,372.35,124221.27,0.1558,132,8.49,0.4168,
18,2026-02-04T15:36:44.502509,Raft,8,73.06,1.0,309.71,0.173,132,8.49,0.5852,
19,2026-02-04T15:36:44.502509,PBFT,7,125.94,237.58,210400.97,0.1841,132,8.49,0.7548,
20,2026-02-04T15:36:44.502509,HotStuff,5,39.61,1695.59,785171.02,0.1657,132,8.49,0.784,
21,2026-02-04T15:37:44.502509,PoW,7,235.39,10.76,100856.49,0.1536,154,11.31,0.436,
22,2026-02-04T15:37:44.502509,PoS,3,131.58,295.37,69642.1,0.206,154,11.31,0.4469,
23,2026-02-04T15:37:44.502509,Raft,7,67.89,1.0,261.08,0.1947,154,11.31,0.5643,
24,2026-02-04T15:37:44.502509,PBFT,8,196.96,1.0,631.36,0.2376,154,11.31,0.7733,
25,2026-02-04T15:37:44.502509,HotStuff,6,112.65,1.0,445.75,0.1812,154,11.31,0.8322,
26,2026-02-04T15:38:44.502509,PoW,6,452.92,1.0,6681.42,0.1859,179,17.03,0.4232,
27,2026-02-04T15:38:44.502509,PoS,4,200.08,299.56,88476.08,0.2576,179,17.03,0.4315,
28,2026-02-04T15:38:44.502509,Raft,7,48.88,1.0,254.93,0.2791,179,17.03,0.6322,
29,2026-02-04T15:38:44.502509,PBFT,9,38.31,1.0,620.82,0.2864,179,17.03,0.799,
30,2026-02-04T15:38:44.502509,HotStuff,6,23.74,1.0,546.02,0.191,179,17.03,0.7815,
31,2026-02-04T15:39:44.502509,PoW,7,176.68,96.38,928617.73,0.1668,226,15.49,0.4241,
32,2026-02-04T15:39:44.502509,PoS,3,5.0,50.34,17083.56,0.2351,226,15.49,0.4583,
33,2026-02-04T15:39:44.502509,Raft,6,78.34,1152.13,251296.71,0.2279,226,15.49,0.6016,
34,2026-02-04T15:39:44.502509,PBFT,6,177.47,157.02,112861.72,0.3066,226,15.49,0.7581,
35,2026-02-04T15:39:44.502509,HotStuff,6,71.09,686.27,243840.27,0.192,226,15.49,0.7898,
36,2026-02-04T15:40:44.502509,PoW,8,479.99,51.45,353054.52,0.1603,173,10.39,0.4249,network_partition
37,2026-02-04T15:40:44.502509,PoS,3,117.12,501.61,158165.27,0.1988,173,10.39,0.4562,
38,2026-02-04T15:40:44.502509,Raft,6,82.82,1255.76,356035.98,0.1896,173,10.39,0.5889,
39,2026-02-04T15:40:44.502509,PBFT,6,180.94,1.0,494.04,0.2463,173,10.39,0.7843,
40,2026-02-04T15:40:44.502509,HotStuff,5,90.75,282.83,101445.92,0.183,173,10.39,0.7566,
41,2026-02-04T15:41:44.502509,PoW,8,399.48,1.0,8666.66,0.0982,137,4.82,0.3915,
42,2026-02-04T15:41:44.502509,PoS,3,44.09,1.0,343.07,0.1757,137,4.82,0.4169,
43,2026-02-04T15:41:44.502509,Raft,6,43.91,248.37,63404.95,0.149,137,4.82,0.6027,
44,2026-02-04T15:41:44.502509,PBFT,5,152.8,322.19,207418.73,0.1805,137,4.82,0.7261,
45,2026-02-04T15:41:44.502509,HotStuff,6,71.0,2328.56,1224203.15,0.1387,137,4.82,0.7427,
46,2026-02-04T15:42:44.502509,PoW,7,259.29,1.0,7153.15,0.1654,228,12.12,0.4628,
47,2026-02-04T15:42:44.502509,PoS,4,164.57,1.0,253.13,0.2406,228,12.12,0.4484,
48,2026-02-04T15:42:44.502509,Raft,5,31.29,174.68,29016.83,0.1971,228,12.12,0.6057,
49,2026-02-04T15:42:44.502509,PBFT,5,144.97,1.0,659.52,0.2512,228,12.12,0.7585,
50,2026-02-04T15:42:44.502509,HotStuff,6,29.24,781.9,403738.46,0.2001,228,12.12,0.777,
51,2026-02-04T15:43:44.502509,PoW,7,346.44,50.02,354838.89,0.2806,224,26.33,0.4238,
52,2026-02-04T15:43:44.502509,PoS,4,57.65,50.21,19705.77,0.3632,224,26.33,0.4662,
53,2026-02-04T15:43:44.502509,Raft,5,17.35,547.47,82844.19,0.2846,224,26.33,0.6436,
54,2026-02-04T15:43:44.502509,PBFT,5,183.92,1.0,663.47,0.3309,224,26.33,0.8142,node_join
55,2026-02-04T15:43:44.502509,HotStuff,6,43.84,201.97,62466.39,0.3229,224,26.33,0.8124,
56,2026-02-04T15:44:44.502509,PoW,7,327.56,48.25,342855.28,0.0902,142,3.21,0.3394,
57,2026-02-04T15:44:44.502509,PoS,3,69.62,670.19,221312.62,0.2073,142,3.21,0.453,
58,2026-02-04T15:44:44.502509,Raft,4,37.51,1.0,182.53,0.1127,142,3.21,0.5406,
59,2026-02-04T15:44:44.502509,PBFT,6,283.16,102.24,62058.73,0.1961,142,3.21,0.758,
60,2026-02-04T15:44:44.502509,HotStuff,6,29.64,1.0,531.74,0.0833,142,3.21,0.7347,
61,2026-02-04T15:45:44.502509,PoW,8,278.59,18.04,163077.75,0.1203,143,7.31,0.3765,
62,2026-02-04T15:45:44.502509,PoS,3,98.96,271.79,84891.25,0.1451,143,7.31,0.423,
63,2026-02-04T15:45:44.502509,Raft,4,42.2,1.0,167.4,0.1636,143,7.31,0.5596,
64,2026-02-04T15:45:44.502509,PBFT,7,198.63,90.54,54665.05,0.1812,143,7.31,0.7353,
65,2026-02-04T15:45:44.502509,HotStuff,7,97.32,1408.31,697637.54,0.0941,143,7.31,0.7109,
